Sample_ID_1	Sample_ID_2	Population_1	Population_2	Ind_1	Ind_2	CHRType	Ka	Value	Triangle
KAZ14001	KAZ14001	A	A	A_01	A_01	Autosomes	K = 7	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Allosome	K = 4	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Allosome	K = 3	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Allosome	K = 6	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Autosomes	K = 2	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Autosomes	K = 5	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Allosome	K = 2	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Allosome	K = 5	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Autosomes	K = 6	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Autosomes	K = 3	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Allosome	K = 7	10	Individual
KAZ14001	KAZ14001	A	A	A_01	A_01	Autosomes	K = 4	10	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Allosome	K = 4	 0.028729	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Autosomes	K = 7	 0.007130	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Allosome	K = 3	 0.028654	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Autosomes	K = 2	10	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Allosome	K = 3	10	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Autosomes	K = 4	10	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Autosomes	K = 2	 0.010270	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Allosome	K = 6	 0.028690	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Allosome	K = 5	10	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Allosome	K = 6	10	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Allosome	K = 5	 0.028727	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Autosomes	K = 5	 0.007130	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Autosomes	K = 6	 0.007130	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Allosome	K = 2	 0.074522	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Autosomes	K = 3	 0.007130	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Allosome	K = 4	10	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Allosome	K = 7	-0.007064	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Autosomes	K = 3	10	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Autosomes	K = 5	10	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Autosomes	K = 7	10	Individual
KAZ14001	KAZ14003	A	A	A_01	A_02	Autosomes	K = 4	 0.007130	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Allosome	K = 2	10	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Autosomes	K = 6	10	Individual
KAZ14003	KAZ14003	A	A	A_02	A_02	Allosome	K = 7	10	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Autosomes	K = 7	10	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Autosomes	K = 6	10	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Autosomes	K = 2	 0.006274	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Autosomes	K = 4	 0.004239	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Autosomes	K = 5	 0.004239	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Allosome	K = 5	 0.054712	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Allosome	K = 3	 0.054611	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Allosome	K = 2	10	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Allosome	K = 7	10	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Allosome	K = 4	 0.023276	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Autosomes	K = 5	 0.002615	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Allosome	K = 6	 0.054598	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Autosomes	K = 2	 0.007424	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Allosome	K = 3	 0.023155	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Allosome	K = 2	 0.048286	Individual
KAZ14003	KAZ14032	A	A	A_02	A_03	Autosomes	K = 3	 0.004239	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Autosomes	K = 3	10	Individual
KAZ14001	KAZ14032	A	A	A_01	A_03	Allosome	K = 6	 0.023234	Individual
KAZ14032	KAZ14032	A	A	A_03	A_03	Autosomes	K = 5	10	Individual
